id,first_name,last_name,position,affiliation,page_type,url
,Frederik,Kurcz,PhD,Berlin School of Economics,HOME,https://frederikkurcz.github.io/
,Hedda,Nielsen,PhD,Berlin School of Economics,HOME,https://sites.google.com/view/heddanielsen
,Clara,Schäper,PhD,Berlin School of Economics,HOME,https://sites.google.com/view/clara-schaeper/home
,Vanessa,Schmidt,PhD,Berlin School of Economics,HOME,https://vanessa-schmidt.com/
,Bruno,Veltri,PhD,Berlin School of Economics,HOME,https://brunoveltri.github.io/
,Katrin,Huber,Post-Doc,Berlin School of Economics,HOME,https://www.katrin-huber-econ.de/
,Shushanik,Margaryan,Post-Doc,Berlin School of Economics,HOME,https://shushanm.github.io/
,Giuseppe,Pulito,Post-Doc,Berlin School of Economics,HOME,https://sites.google.com/view/giuseppepulito/home
,Li,Zhang,Post-Doc,Berlin School of Economics,HOME,https://lizhangecon.github.io/
86,Rui,Mano,Other,International Monetary Fund,HOME,https://sites.google.com/site/ruimano/home
124,Joseba,Martinez,Ass. Professor,London Business School,HOME,https://www.josebamartinez.me/index.html
154,Peter Hans,Matthews,Professor,Middlebury College,HOME,https://sites.google.com/middlebury.edu/peter-hans-matthews/bio
146,Lukas,Menkhoff,Professor,Humboldt-Universität zu Berlin / DIW Berlin,HOME,https://sites.google.com/view/lukas-menkhoff/
48,L.,Merlino,Professor,ECARES / Université libre de Bruxelles,HOME,https://sites.google.com/site/lucamerlino/home
71,Thomas,Mertens,Other,Federal Reserve Bank of San Francisco,HOME,https://sites.google.com/site/thomasmichaelmertens/home
133,Rohini,Pande,Professor,Yale University,HOME,https://campuspress.yale.edu/rpande/
133,Rohini,Pande,Professor,Yale University,PUB,https://campuspress.yale.edu/rpande/research/publications/
133,Rohini,Pande,Professor,Yale University,WP,https://campuspress.yale.edu/rpande/research/working-papers/
62,Eleonora,Patacchini,Professor,Cornell University,HOME,https://www.epatacchini.com/
62,Eleonora,Patacchini,Professor,Cornell University,PUB,https://www.epatacchini.com/published-papers
69,Christopher,Prömel,Post-Doc,Freie Universität Berlin,HOME,https://sites.google.com/view/christopherproemel/home
69,Christopher,Prömel,Post-Doc,Freie Universität Berlin,RES,https://sites.google.com/view/christopherproemel/research
127,Albert,Queralto,Other,Federal Reserve Board,HOME,https://www.albertqueralto.com/
127,Albert,Queralto,Other,Federal Reserve Board,RES,https://www.albertqueralto.com/research
85,Aakaash,Rao,PhD,Harvard University,HOME,https://aakaashrao.github.io/
74,Pascual,Restrepo,Professor,Yale University,HOME,https://campuspress.yale.edu/pascualrestrepo/
68,P.,Rosenbaum,Ass. Professor,Copenhagen Business School,HOME,https://sites.google.com/site/philrosenbaum/
138,Jens,Ruhose,Professor,Kiel University,HOME,https://sites.google.com/site/jensruhose/
