researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
36,Sandra,Sequeira,London School of Economics,Sandra Sequeira,London School of Economics (LSE),https://sites.google.com/site/sandramgsequeira/,REPEC:per:2010-05-04:sandra_sequeira,exact_name,unique
37,Stefanie,Stantcheva,Harvard University,Stefanie Stantcheva,Harvard University,https://scholar.harvard.edu/stantcheva,REPEC:per:2017-11-22:stefanie_stantcheva,exact_name,unique
39,Larry,Samuelson,Yale University,Larry Samuelson,Yale University,http://pantheon.yale.edu/~ls529/~,REPEC:per:1985-04-04:larry_samuelson,exact_name,unique
43,Michael,Berlemann,,Michael Berlemann,CESifo,http://www.hsu-hh.de/berlemann,REPEC:per:1968-08-26:michael_berlemann,exact_name,unique
49,Liam,Wren-Lewis,Paris School of Economics / INRAE,Liam Wren-Lewis,Paris School of Economics,https://sites.google.com/site/liamwrenlewis/,REPEC:per:1983-06-28:liam_wren_lewis,exact_name,unique
51,Sebastian,Garcia-Torres,,Sebastian Garcia-Torres,Freie Universität Berlin,https://www.jfki.fu-berlin.de/en/faculty/economics/persons/student_assistants/garcia_torres/index.ht,REPEC:per:2001-08-02:Sebastian_Garcia-Torres,exact_name,unique
54,Timothy,Hatton,,Timothy James Hatton,Australian National University,https://sites.google.com/site/timhattonwebsite/,REPEC:per:2006-02-22:timothy_james_hatton,exact_name,unique
58,Panu,Poutvaara,,Panu Poutvaara,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,http://www.ifo.de/poutvaara-p,REPEC:per:1973-05-31:panu_poutvaara,exact_name,unique
63,Felix,FitzRoy,,Felix FitzRoy,"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD)",https://www.st-andrews.ac.uk/economics/people/#frf,REPEC:per:1938-09-20:felix_fitzroy,exact_name,unique
71,Thomas,Mertens,Federal Reserve Bank of San Francisco,Thomas Michael Mertens,Federal Reserve Bank of San Francisco,https://sites.google.com/site/thomasmichaelmertens/,REPEC:per:2010-11-18:thomas_michael_mertens,exact_name,unique
77,Josh,Lerner,,Josh Lerner,National Bureau of Economic Research (NBER),http://www.hbs.edu/faculty/jlerner,REPEC:per:1960-06-27:josh_lerner,exact_name,unique
80,Stephan,Hollander,,Stephan Hollander,Universiteit van Tilburg,http://www.uvt.nl/people/s.hollander,REPEC:per:2008-01-19:stephan_hollander,exact_name,unique
83,Jesse,Schreger,Columbia Business School,Jesse Schreger,Harvard University,http://scholar.harvard.edu/schreger/,REPEC:per:1984-10-26:jesse_schreger,exact_name,unique
86,Rui,Mano,International Monetary Fund,Rui C. Mano,International Monetary Fund (IMF),https://sites.google.com/site/ruimano/,REPEC:per:2014-06-14:rui_c_mano,exact_name,unique
101,Victor,Gay,,Victor Gay,Toulouse School of Economics (TSE),http://victorgay.me,REPEC:per:2017-02-10:victor_gay,exact_name,unique
107,Lars,Kirkebøen,,Lars Johannessen Kirkebøen,Government of Norway,http://www.ssb.no/forskning/ansatte/lars-johannessen-kirkeb%C3%B8en,REPEC:per:2014-05-06:lars_johannessen_kirkeboeen,exact_name,unique
108,Anders,Akerman,,Anders Akerman,Stockholms Universitet,https://sites.google.com/site/andersakerman,REPEC:per:2008-08-12:anders_akerman,exact_name,unique
110,Pamela,Giustinelli,,Pamela  Giustinelli,Università Commerciale Luigi Bocconi,https://sites.google.com/site/pgiustinelli/,REPEC:per:1980-06-10:pamela_giustinelli,exact_name,unique
112,Simon,Bensnes,,Simon Søbstad Bensnes,Universitetet i Oslo,https://sites.google.com/site/simonsoebstadbensnes/home,REPEC:per:2016-11-11:simon_sobstad_bensnes,exact_name,unique
113,Ingrid,Huitfeldt,,Ingrid Marie Schaumburg Huitfeldt,BI Handelshøyskolen,https://www.ingridhuitfeldt.com/,REPEC:per:1987-12-19:Ingrid_Huitfeldt,exact_name,unique
114,Mikkel,Gandil,,Mikkel Høst Gandil,Rockwool Fondens Forskningsenhed (RFF),https://sites.google.com/view/mikkelgandil,REPEC:per:2022-08-26:mikkel_host_gandil,exact_name,unique
116,Antonella,Trigari,Bocconi University,Antonella  Trigari,Università Commerciale Luigi Bocconi,https://sites.google.com/view/antonellatrigari/home,REPEC:per:2004-01-19:antonella_trigari,exact_name,unique
121,Andrea,Prestipino,,andrea prestipino,Federal Reserve Board (Board of Governors of the Federal Reserve System),http://andreaprestipino.com,REPEC:per:2020-07-30:andrea_prestipino,exact_name,unique
124,Joseba,Martinez,London Business School,Joseba Martinez,London Business School (LBS),http://www.josebamartinez.com,REPEC:per:1988-07-06:joseba_martinez,exact_name,unique
125,Simon,Gilchrist,,Simon Gilchrist,New York University (NYU),http://people.bu.edu/sgilchri,REPEC:per:1963-04-06:simon_gilchrist,exact_name,unique
126,Peter,Karadi,,Peter Karadi,Centre for Economic Policy Research (CEPR),https://peterkaradi.com,REPEC:per:2007-12-30:peter_karadi,exact_name,unique
128,Andrea,Ferrero,,Andrea Ferrero,Bank of England,https://sites.google.com/site/andreapferrero/,REPEC:per:1975-05-14:andrea_ferrero,exact_name,unique
130,Luca,Sala,Università Bocconi,Luca Sala,Università Commerciale Luigi Bocconi,http://www.igier.unibocconi.it/sala,REPEC:per:1972-05-07:luca_sala,exact_name,unique
132,Michael,Greenstone,,Michael Greenstone,University of Chicago,http://www.michaelgreenstone.com/,REPEC:per:2002-11-12:michael_greenstone,exact_name,unique
141,Carsten,Schröder,,carsten  schröder,Freie Universität Berlin,http://www.diw.de/cv/en/cschroeder,REPEC:per:2005-11-13:carsten_schroeder,exact_name,unique
148,Prashant,Bharadwaj,,Prashant Bharadwaj,Yale University,http://pantheon.yale.edu/~pb282/,REPEC:per:2008-06-24:prashant_bharadwaj,exact_name,unique
163,Johannes,König,,Johannes König,DIW Berlin (Deutsches Institut für Wirtschaftsforschung),https://sites.google.com/view/johanneskoenig/,REPEC:per:2015-09-23:johannes_koenig,exact_name,unique
183,Yuhao,Qian,London School of Economics,Yuhao Qian,London School of Economics (LSE),https://www.lse.ac.uk/economics/people/research-students/yuhao-qian,REPEC:per:1996-11-28:Yuhao_Qian,exact_name,unique
233,Shushanik,Margaryan,Berlin School of Economics,Shushanik Margaryan,Universität Hamburg,https://sites.google.com/view/shushanikmargaryan,REPEC:per:1992-06-24:shushanik_margaryan,exact_name,unique
263,Rustam,Jamilov,University of Oxford,Rustam Jamilov,London Business School (LBS),http://rustamjamilov.com,REPEC:per:2011-06-16:rustam_jamilov,exact_name,unique
310,Kartik,Vira,Massachusetts Institute of Technology,Kartik Vira,Massachusetts Institute of Technology (MIT),https://economics.mit.edu/people/phd-students/kartikeya-vira,REPEC:per:1997-01-25:kartik_vira,exact_name,unique
333,Jonathan,Hartley,Stanford University,Jonathan Hartley,University of Chicago,http://www.jonhartley.org,REPEC:per:2009-11-06:jonathan_hartley,exact_name,unique
345,Qiyi,Zhao,Stanford University,Qiyi Charlotte Zhao,Stanford University,https://sites.google.com/view/qiyizhao/,REPEC:per:1997-05-25:Qiyi_Charlotte_Zhao,exact_name,unique
396,Christopher,Sims,Northwestern University,Christopher Sims,,http://www.princeton.edu/~sims,REPEC:per:1942-09-14:christopher_sims,exact_name,unique
